"City","State_Abbrev","State","area_km2","Lat","Long","ID","Temp","Prec","tcc45km","imperv45km","year","Population","n.obs45km","unique_observers","Median_HH_Income","PovertyIndex","BA_Population","MedianHomeValue"
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2010,1449038,0,0,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2011,1469796,0,0,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2012,1499274,0,0,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2013,1526491,0,0,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2014,1555445,0,0,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2015,1583690,3,1,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2016,1612199,3,3,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2017,1633560,4,4,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2018,1654675,8,8,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2019,1680992,20,16,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2020,1612459,65,31,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2021,1625187,81,36,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2022,1643899,123,48,83788,85,657544,410476
"Phoenix","AZ","Arizona",1342,33.448376,-112.074036,12,22.3718433380127,202,4007834,151999666,2023,1650070,112,56,83788,85,657544,410476
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2010,3795512,2,2,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2011,3820876,1,1,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2012,3851202,2,1,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2013,3881622,18,11,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2014,3909901,5,5,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2015,3938568,29,22,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2016,3963226,108,53,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2017,3975788,118,54,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2018,3977596,162,73,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2019,3979576,180,83,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2020,3895848,320,142,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2021,3832573,299,124,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2022,3822782,292,138,87159,110,1676669,812387
"Los Angeles","CA","California",1216,34.052235,-118.243683,50,18.5593757629395,406,205817311,291245451,2023,3820914,311,147,87159,110,1676669,812387
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2010,305466,1,1,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2011,309472,0,0,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2012,312323,1,1,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2013,315510,1,1,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2014,317702,1,1,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2015,320483,2,2,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2016,323684,3,3,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2017,326882,12,7,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2018,329654,13,10,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2019,331360,34,16,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2020,315067,152,37,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2021,313350,183,36,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2022,318991,136,38,95315,87,445681,580223
"Riverside","CA","California",210,33.980602,-117.375496,67,18.0205001831055,346,73774959,115460212,2023,318858,123,57,95315,87,445681,580223
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2010,467286,0,0,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2011,470902,0,0,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2012,474226,3,3,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2013,478214,1,1,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2014,482762,5,4,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2015,488133,5,5,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2016,494127,5,5,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2017,500777,6,5,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2018,507737,25,11,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2019,513624,138,41,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2020,525528,239,52,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2021,525502,185,44,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2022,525297,211,63,93577,91,347409,557476
"Sacramento","CA","California",255,38.581573,-121.4944,69,16.6612281799316,478,19856521,71100068,2023,526384,178,63,93577,91,347409,557476
"San Diego","CA","California",844,32.715736,-117.161087,72,18.0704250335693,301,893096244,502743750,2010,1305906,1,1,103759,80,473416,815537
